;Equipe;Points
0;Liverpool;14695
1;Flamengo;13486
2;Barcelona;13105
3;RiverPlate;11425
4;Palmeiras;11026
5;BayernMünchen;10885
6;AlHilal;10527
7;ManchesterCity;10390
8;Grêmio;10366
9;BocaJuniors;9954
10;Valencia;9770
11;PSG;9495
12;AtléticoMadrid;9329
13;Juventus;9319
14;AthleticoParanaense;9286
15;RBLeipzig;9221
16;Internacional;9035
17;RealMadrid;8949
18;Chelsea;8832
19;Monterrey;8375
20;Ajax;8164
21;BayerLeverkusen;8083
22;GuangzhouEvergrande;8074
23;TigresUANL;8036
24;Arsenal;7938
25;Atalanta;7928
26;Getafe;7881
27;León;7727
28;ShanghaiSIPG;7706
29;AlNassr;7554
30;Sevilla;7447
31;RealSociedad;7427
32;AtléticoMineiro;7418
33;América;7345
34;WolverhamptonWanderers;7311
35;BorussiaDortmund;7276
36;Internazionale;7235
37;Napoli;7165
38;ManchesterUnited;7151
39;Santos;7088
40;Lazio;6846
41;TottenhamHotspur;6821
42;BeijingGuoan;6785
43;Roma;6735
44;EintrachtFrankfurt;6714
45;JeonbukMotors;6674
46;Benfica;6562
47;OlympiakosPiraeus;6497
48;ShandongLuneng;6492
49;ClubBrugge;6464
50;AlAhly;6459
51;Zenit;6351
52;Ulsan;6300
53;Espanyol;6273
54;ShakhtarDonetsk;6253
55;KashimaAntlers;6249
56;CruzAzul;6238
57;Porto;6206
58;AlAhli;6161
59;OlympiqueLyonnais;6154
60;AthleticClub;6139
61;SantosLaguna;6136
62;MamelodiSundowns;6093
63;Corinthians;6079
64;Wolfsburg;5919
65;DeportesTolima;5865
66;Independiente;5744
67;Basel;5742
68;Lanús;5669
69;Rangers;5597
70;DeportivoCali;5560
71;Celtic;5551
72;Necaxa;5536
73;AlIttihad;5482
74;SãoPaulo;5476
75;BorussiaM'gladbach;5412
76;Villarreal;5396
77;ArgentinosJuniors;5364
78;LASK;5341
79;SportingBraga;5314
80;Krasnodar;5313
81;SanfrecceHiroshima;5306
82;Zamalek;5280
83;Bahia;5249
84;LeicesterCity;5188
85;Gent;5184
86;AtlantaUnited;5184
87;SanLorenzo;5121
88;Fluminense;5108
89;LokomotivMoskva;5090
90;IndependienteMedellín;5087
91;SportingCP;5057
92;Junior;5011
93;AlTaawon;5005
94;Cruzeiro;5001
95;ESTunis;4955
96;RacingClub;4926
97;VélezSarsfield;4872
98;CFRCluj;4858
99;RosarioCentral;4829
100;Morelia;4821
101;Rennes;4815
102;Granada;4803
103;AtléticoNacional;4793
104;København;4737
105;Fortaleza;4727
106;YokohamaF.Marinos;4655
107;Pachuca;4642
108;Olimpia;4640
109;UrawaReds;4640
110;SuwonBluewings;4636
111;Salzburg;4620
112;Pyramids;4615
113;NewYorkCity;4579
114;CentralCórdobaSdE;4572
115;Levante;4554
116;VisselKobe;4525
117;JiangsuSuning;4500
118;Milan;4490
119;LosAngeles;4457
120;CerroPorteño;4438
121;İstanbulBaşakşehir;4377
122;Querétaro;4375
123;KawasakiFrontale;4313
124;RealBetis;4257
125;DefensayJusticia;4236
126;AZ;4234
127;Goiás;4227
128;AméricadeCali;4227
129;Colón;4218
130;Lille;4207
131;Tokyo;4197
132;DynamoKyiv;4168
133;Trabzonspor;4151
134;CrystalPalace;4146
135;VascodaGama;4140
136;Libertad;4117
137;CeltadeVigo;4059
138;RealValladolid;4059
139;Seoul;4040
140;PSV;4032
141;CSKAMoskva;4025
142;Esteghlal;4018
143;PumasUNAM;4017
144;OlympiqueMarseille;4008
145;Newell'sOldBoys;4001
146;MalmöFF;3996
147;CrvenaZvezda;3994
148;Everton;3982
149;Persepolis;3981
150;Estudiantes;3948
151;Schalke04;3938
152;Guadalajara;3928
153;ShanghaiShenhua;3915
154;Botafogo;3912
155;NewcastleUnited;3890
156;SheffieldUnited;3883
157;SangjuSangmu;3865
158;Eibar;3861
159;Daegu;3821
160;Bologna;3818
161;Torino;3817
162;Burnley;3781
163;Feyenoord;3774
164;Arsenal;3765
165;TalleresdeCórdoba;3764
166;Antwerp;3763
167;Tijuana;3750
168;Saint-Étienne;3749
169;CerezoOsaka;3745
170;PohangSteelers;3725
171;SpartakMoskva;3712
172;AtléticoTucumán;3707
173;Partizan;3697
174;StandardLiège;3692
175;PAOK;3673
176;DeportivoAlavés;3663
177;Galatasaray;3647
178;DalianYifang;3645
179;Strasbourg;3627
180;DeportivoPasto;3617
181;SlaviaPraha;3612
182;VitóriaGuimarães;3593
183;Ludogorets;3545
184;MinnesotaUnited;3516
185;HenanJianye;3510
186;Unión;3507
187;SlovanBratislava;3493
188;Atlas;3483
189;Puebla;3481
190;Gangwon;3479
191;IndependientedelValle;3470
192;Leganés;3465
193;Hoffenheim;3438
194;TianjinTeda;3420
195;WuhanZall;3420
196;Toluca;3391
197;ClubGuaraní;3306
198;SeattleSounders;3295
199;Millonarios;3276
200;APOEL;3270
201;Osasuna;3267
202;Peñarol;3267
203;AEKAthens;3235
204;LaEquidad;3223
205;AlWahda;3198
206;Rostov;3193
207;PortlandTimbers;3187
208;SantaFe;3175
209;Ceará;3169
210;ChongqingDangdaiLifan;3150
211;AlShabab;3144
212;Freiburg;3138
213;YoungBoys;3132
214;Nacional;3127
215;WerderBremen;3121
216;Udinese;3100
217;Sassuolo;3086
218;Parma;3080
219;Ural;3059
220;AlMokawloon;3057
221;Gyeongnam;3054
222;Reims;3054
223;GimnasiaLaPlata;3048
224;Huracán;3041
225;Zorya;3038
226;AlSadd;3030
227;Montpellier;3029
228;Nantes;3029
229;Sepahan;3015
230;FortunaDüsseldorf;3014
231;Banfield;3005
232;AlRaed;2976
233;Mainz05;2973
234;GodoyCruz;2968
235;Southampton;2956
236;OnceCaldas;2952
237;AtléticoSanLuis;2946
238;Genk;2929
239;AlFaisaly;2901
240;Seongnam;2881
241;ViktoriaPlzeň;2877
242;UnionBerlin;2873
243;ShahrKhodrou;2871
244;WydadCasablanca;2867
245;Cagliari;2866
246;Juárez;2857
247;ArsenalTula;2836
248;FCSB;2831
249;Abha;2825
250;Toronto;2822
251;Watford;2817
252;Molde;2813
253;AlianzaPetrolera;2813
254;Nice;2803
255;Rosenborg;2769
256;ENPPI;2752
257;HerthaBSC;2751
258;GambaOsaka;2744
259;OrlandoPirates;2743
260;ZobAhan;2738
261;ShimizuS-Pulse;2717
262;PhiladelphiaUnion;2715
263;WestHamUnited;2705
264;GuangzhouR&F;2700
265;AngersSCO;2690
266;CSKASofia;2681
267;Fiorentina;2679
268;RioAve;2676
269;RealSaltLake;2670
270;TPMazembe;2655
271;AlFeiha;2616
272;Dijon;2608
273;AlIttifaq;2605
274;CSA;2600
275;Augsburg;2599
276;Patronato;2592
277;Smouha;2588
278;Sampdoria;2588
279;Aldosivi;2561
280;OitaTrinita;2556
281;KaizerChiefs;2545
282;WolfsbergerAC;2539
283;Desna;2538
284;MaritzburgUnited;2537
285;Alanyaspor;2532
286;SportingCharleroi;2515
287;Brighton&HoveAlbion;2512
288;ConsadoleSapporo;2509
289;Fenerbahçe;2503
290;DCUnited;2497
291;AFCBournemouth;2482
292;DinamoMoskva;2478
293;Utrecht;2477
294;Mallorca;2475
295;AlIttihad;2471
296;RajaCasablanca;2466
297;AkhmatGrozny;2459
298;Köln;2454
299;Dallas;2452
300;SJEarthquakes;2443
301;NewEngland;2441
302;SaganTosu;2436
303;Orenburg;2436
304;HebeiCFFC;2430
305;Beşiktaş;2424
306;Oleksandria;2421
307;LAGalaxy;2420
308;AEKLarnaca;2410
309;Monaco;2409
310;AIK;2406
311;VegaltaSendai;2398
312;SanatNaft;2397
313;LDUQuito;2387
314;NewYorkRB;2380
315;Sivasspor;2379
316;Rionegro;2374
317;Chapecoense;2355
318;CúcutaDeportivo;2353
319;LegiaWarszawa;2332
320;Boavista;2325
321;MontrealImpact;2312
322;MaccabiHaifa;2302
