;shortName;name;name_web;puissance
99;Galatasaray;Galatasaray SK;Galatasaray;3647
100;Qarabağ Ağdam;Qarabağ Ağdam FK;Qarabağ;1054
101;Olympiakos;PAE Olympiakos SFP;OlympiakosPiraeus;6497
102;PSV;PSV;PSV;4032
103;Ajax;AFC Ajax;Ajax;8164
104;RB Leipzig;RB Leipzig;RBLeipzig;9221
105;Basel;FC Basel 1893;Basel;5742
106;Zenit;FK Zenit Sankt-Petersburg;Zenit;6351
107;Celtic;Celtic FC;Celtic;5551
108;Maribor;NK Maribor;Maribor;651
109;BATE;FK BATE Borisov;BATE;890
110;APOEL;APOEL FC;APOEL;3270
111;Dinamo Zagreb;GNK Dinamo Zagreb;DinamoMoskva;2478
112;Dynamo Kyiv;FK Dynamo Kyiv;DynamoKyiv;4168
113;Club Brugge;Club Brugge KV;ClubBrugge;6464
114;Rosenborg;Rosenborg BK;Rosenborg;2769
115;Slavia Praha;SK Slavia Praha;SlaviaPraha;3612
116;KRC Genk;KRC Genk;Genk;2929
117;Young Boys;BSC Young Boys;YoungBoys;3132
118;Dundalk;Dundalk FC;Dundalk;195
119;F91 Dudelange;F91 Diddeleng;F91Dudelange;832
120;København;FC København;København;4737
121;RB Salzburg;FC Red Bull Salzburg;Salzburg;4620
122;Santa Coloma;FC Santa Coloma;SantaFe;3175
123;Sheriff;FC Sheriff Tiraspol;Sheriff;316
124;Viktoria Plzeň;FC Viktoria Plzeň;ViktoriaPlzeň;2877
125;Astana FK;Astana FK;Astana;1092
126;Shaktar;FK Shakhtar Donetsk;;100
127;Linfield;Linfield FC;Linfield;409
128;Başakşehir;Medipol Başakşehir FK;İstanbulBaşakşehir;4377
129;Ludogorets;PFK Ludogorets 1945 Razgrad;Ludogorets;3545
130;SL Benfica;Sport Lisboa e Benfica;Benfica;6562
131;The New Saints;The New Saints FC;;100
132;LASK;LASK Linz;LASK;5341
133;Sarajevo;FK Sarajevo;;100
134;Nõmme Kalju;Nõmme Kalju FC;NõmmeKalju;178
135;HJK;Helsingin JK;HJK;498
136;AIK Fotboll;AIK Fotboll;;100
137;Krasnodar;FK Krasnodar;Krasnodar;5313
138;Lok Moskva;FK Lokomotiv Moskva;LokomotivMoskva;5090
139;CFR Cluj;FC CFR 1907 Cluj;CFRCluj;4858
140;Piast Gliwice;GKS Piast Gliwice;PiastGliwice;2030
141;Valletta;Valletta FC;;100
142;FK Sūduva;FK Sūduva Marijampolė;Sūduva;603
