;score;puissance_homeTeam;puissance_awayTeam;win_cons_home;win_cons_away;lose_cons_home;lose_cons_away;score
156;1;9495;3029;0;1;0;0;1
157;1;4207;2156;2;1;0;0;1
158;2;2020;6154;0;0;1;1;2
159;2;3029;9495;0;1;0;0;2
160;1;100;2690;2;0;0;2;1
161;1;2803;1736;0;0;1;1;1
162;1;2409;2045;1;0;0;3;1
163;1;3627;1065;0;0;2;6;1
164;1;3054;3749;0;1;0;0;1
165;1;3029;100;0;0;1;0;1
166;1;4008;2298;5;1;0;0;1
167;1;4207;3029;0;0;1;1;1
168;0;1736;4008;0;6;2;0;0
169;2;1065;3054;0;1;7;0;2
170;0;2156;2803;0;1;1;0;0
171;0;2690;2409;0;2;3;0;0
172;2;2020;3029;0;1;2;0;2
173;0;2045;100;0;0;4;1;0
174;2;2298;3627;0;1;1;0;2
175;2;6154;100;0;3;0;0;2
176;2;3749;9495;0;3;1;0;2
177;1;3029;2156;0;0;2;0;1
178;1;9495;2045;4;0;0;0;1
179;1;100;2298;4;0;0;2;1
180;1;4008;2020;0;0;0;3;1
181;1;2803;1065;0;0;0;8;1
182;0;3054;6154;2;0;0;1;0
183;2;3029;2690;2;0;0;0;2
184;1;2409;4207;0;1;0;0;1
185;0;100;1736;0;0;0;0;0
186;1;3627;3749;2;0;0;2;1
187;2;100;4008;5;1;0;0;2
188;2;2298;6154;0;0;3;0;2
189;2;1065;2156;0;0;9;1;2
190;0;2690;2803;1;1;0;0;0
191;1;2020;3054;0;0;4;0;1
192;1;1736;3627;0;3;0;0;1
193;2;2045;3029;0;1;1;0;2
194;2;3749;3029;0;0;3;1;2
195;1;100;4207;0;0;0;1;1
196;0;9495;2409;5;1;0;0;0
197;2;2020;100;1;0;0;1;2
198;0;2045;3054;0;0;2;1;0
199;2;2409;9495;0;0;0;0;2
200;0;2803;100;0;1;0;0;0
201;0;4008;2690;2;0;0;0;0
202;1;3029;100;2;1;0;0;1
203;1;3749;2020;0;0;4;1;1
204;1;2156;2045;1;0;0;0;1
205;2;3054;1736;0;1;0;0;2
206;2;2409;3627;0;0;1;1;2
207;1;6154;1065;1;0;0;10;1
208;2;3029;2298;1;0;0;4;2
209;2;4207;9495;0;1;2;0;2
210;1;100;3029;0;0;0;1;1
211;1;9495;3029;2;3;0;0;1
212;2;2690;3054;0;0;0;1;2
213;1;100;2156;0;2;1;0;1
214;1;2020;2409;0;0;2;2;1
215;2;3627;4207;1;0;0;3;2
216;0;2045;1065;0;0;1;11;0
217;1;2803;6154;0;2;0;0;1
218;1;1736;3749;2;1;0;0;1
219;0;2298;4008;1;0;0;0;0
220;1;4207;100;1;1;0;0;1
221;1;2409;2690;0;0;3;1;1
222;2;3029;9495;0;3;2;0;2
223;0;3029;1736;0;3;1;0;0
224;0;6154;2045;0;0;1;0;0
225;2;1065;3627;0;0;0;1;2
226;0;2156;2298;0;0;1;0;0
227;0;3054;2803;1;1;0;0;0
228;1;2020;100;1;1;0;0;1
229;2;3749;4008;0;0;1;0;2
230;2;2690;4207;0;2;2;0;2
231;1;4008;1065;1;0;0;1;1
232;0;100;2156;0;0;1;0;0
233;2;2803;2020;0;2;0;0;2
234;0;100;3029;0;0;1;3;0
235;2;1736;2298;0;0;0;0;2
236;2;2045;2409;0;1;0;0;2
237;1;3029;3749;0;0;0;2;1
238;1;3627;3054;1;0;0;0;1
239;1;9495;6154;4;0;0;0;1
240;1;2409;3029;2;1;0;0;1
241;0;2045;9495;0;5;1;0;0
242;0;2298;100;1;0;0;0;0
243;2;1065;2803;0;0;2;1;2
244;0;3029;1736;0;0;0;1;0
245;1;2020;2690;3;0;0;3;1
246;0;6154;3627;0;2;1;0;0
247;1;2156;3749;0;0;0;3;1
248;1;3054;100;0;0;1;0;1
249;2;4207;4008;3;2;0;0;2
250;0;2803;2156;1;1;0;0;0
251;2;1736;6154;0;0;0;0;2
252;2;4008;3029;3;0;0;0;2
253;1;4207;1065;0;0;1;3;1
254;1;2690;3029;0;0;4;1;1
255;0;100;2409;0;3;0;0;0
256;0;3627;2045;0;0;0;0;0
257;0;3749;3054;0;1;4;0;0
258;1;100;2020;0;4;1;0;1
259;1;9495;2298;0;0;1;0;1
260;2;2020;4008;0;0;1;1;2
261;1;9495;100;1;0;0;0;1
262;1;3029;3627;0;0;2;0;1
263;2;1065;100;0;1;4;0;2
264;2;2156;2690;0;1;0;0;2
265;0;2409;3054;0;0;0;0;0
266;2;2045;1736;0;0;0;1;2
267;2;3029;4207;1;1;0;0;2
268;0;2298;2803;0;0;1;0;0
269;1;6154;3749;2;0;0;0;1
270;0;4008;2045;1;0;0;1;0
271;1;2803;2409;0;0;0;0;1
272;1;3054;2156;0;0;0;1;1
273;1;2690;3029;2;0;0;1;1
274;1;100;1065;0;0;1;5;1
275;1;1736;2020;1;0;0;2;1
276;0;3749;2298;0;0;1;0;0
277;1;100;3029;2;1;0;0;1
278;1;4207;6154;2;3;0;0;1
380;1;14695;1880;-1;-1;-1;-1;1
381;2;2705;10390;-1;-1;-1;-1;2
382;1;3781;2956;-1;-1;-1;-1;1
383;0;4146;3982;-1;-1;-1;-1;0
384;2;2817;2512;-1;-1;-1;-1;2
385;0;2482;3883;-1;-1;-1;-1;0
386;1;6821;1553;-1;-1;-1;-1;1
387;0;5188;7311;-1;-1;-1;-1;0
388;2;3890;7938;-1;-1;-1;-1;2
389;1;7151;8832;-1;-1;-1;-1;1
390;1;7938;3781;1;1;0;0;1
391;2;1553;2482;0;0;1;0;2
392;1;3982;2817;0;0;0;1;1
393;1;1880;3890;0;0;1;1;1
394;2;2956;14695;0;1;1;0;2
395;0;2512;2705;1;0;0;1;0
396;0;10390;6821;1;1;0;0;0
397;1;3883;4146;0;0;0;0;1
398;0;8832;5188;0;0;1;0;0
399;0;7311;7151;0;1;0;0;0
400;1;1553;3982;0;1;2;0;1
401;2;1880;8832;1;0;0;0;2
402;2;7151;4146;0;0;0;1;2
403;2;3883;5188;1;0;0;0;2
404;2;2512;2956;0;0;0;2;2
405;2;2817;2705;0;0;2;0;2
406;1;14695;7938;2;2;0;0;1
407;2;2482;10390;1;0;0;0;2
408;0;7311;3781;0;0;0;1;0
