;Equipe;Points
361;Vojvodina;1782
362;Veres;1775
363;ChangchunYatai;1774
364;Wanderers;1771
365;PaçosdeFerreira;1766
366;BneiYehuda;1765
367;Levante;1764
368;Metz;1759
369;AlShabab;1754
370;Häcken;1752
371;Trenčín;1752
372;Odd;1740
373;Anzhi;1735
374;RapidWien;1726
375;StandardLiège;1723
376;Gençlerbirliği;1722
377;Thun;1715
378;ConcordiaChiajna;1715
379;Astana;1712
380;ZobAhan;1704
381;LobosBUAP;1695
382;Lekhwiya;1688
383;AlAhliTripoli;1687
384;Lyngby;1682
385;Jablonec;1677
386;DuklaPraha;1675
387;HuddersfieldTown;1668
388;Ingolstadt;1660
389;BostonRiver;1654
390;Cerro;1649
391;Djurgården;1643
392;KoronaKielce;1639
393;CerezoOsaka;1638
394;AtléticoHuila;1633
395;RubioÑú;1630
396;St.Gallen;1625
397;Osasuna;1617
398;SportingKC;1616
399;SeattleSounders;1616
400;Waasland-Beveren;1615
401;Lillestrøm;1614
402;DeportivoSaprissa;1605
403;Herediano;1605
404;EtoileduSahel;1599
405;AtléticoBucaramanga;1584
406;AlRaed;1583
407;ADODenHaag;1580
408;KashiwaReysol;1576
409;RadničkiNiš;1575
410;AlianzaPetrolera;1567
411;Vereya;1565
412;Sint-Truiden;1560
413;VitóriaSetúbal;1557
414;Brann;1557
415;YokohamaF.Marinos;1550
416;Atromitos;1547
417;Sydney;1533
418;Kortrijk;1529
419;SpartakSubotica;1525
420;Alanyaspor;1523
421;Admira;1520
422;Strømsgodset;1519
423;AlIttihad;1518
424;MladostLučani;1513
425;OmoniaNicosia;1512
426;HoustonDynamo;1510
427;Grasshopper;1502
428;GambaOsaka;1498
429;Sarmiento;1497
430;Aldosivi;1497
431;TianjinTeda;1493
432;RamplaJuniors;1492
433;Heracles;1490
434;Sion;1489
435;WadiDegla;1488
436;Tigres;1485
437;RoyalExcelMouscron;1477
438;Sheriff;1467
439;Groningen;1463
440;ZagłębieLubin;1463
441;Vålerenga;1458
442;Envigado;1452
443;GazMetanMediaş;1451
444;HenanJianye;1449
445;Liverpool;1448
446;Karabükspor;1446
447;Osmanlıspor;1443
448;ColumbusCrew;1438
449;RheindorfAltach;1438
450;RionegroÁguilas;1436
451;RiverPlate;1430
452;BATE;1428
453;Racing;1428
454;ElGeish;1428
455;ChongqingDangdaiLifan;1427
456;Voždovac;1425
457;Excelsior;1422
458;HullCity;1418
459;Bursaspor;1418
460;Xanthi;1415
461;USMAlger;1413
462;OB;1413
463;WesternSydneyWanderers;1411
464;Darmstadt98;1411
465;Stuttgart;1411
466;Haugesund;1406
467;NewYorkCity;1405
468;HapoelHaifa;1404
469;AlIttifaq;1401
470;Chiapas;1401
471;ChicagoFire;1400
472;AtlantaUnited;1392
473;OnceCaldas;1386
474;Cortuluá;1386
475;BrisbaneRoar;1384
476;St.Johnstone;1383
477;Kristiansund;1380
478;Napredak;1375
479;Tosno;1374
480;AlAhli;1356
481;Brighton&HoveAlbion;1352
482;MaccabiPetahTikva;1350
483;WisłaKraków;1350
484;LechiaGdańsk;1350
485;ESTunis;1350
486;BneiSakhnin;1350
487;AlMokawloon;1337
488;Fénix;1334
489;ElTanqueSisley;1333
490;LausanneSport;1329
491;AaB;1327
492;Twente;1327
493;WisłaPłock;1325
494;Maribor;1322
495;JúbiloIwata;1316
496;DinamoMoskva;1315
497;Zanaco;1312
498;AdelaideUnited;1305
499;Sivasspor;1304
500;Danubio;1303
501;Mattersburg;1300
502;AmiensSC;1298
503;Beroe;1290
504;ŚląskWrocław;1275
505;Strasbourg;1272
506;SJEarthquakes;1264
507;WillemII;1263
508;AlFeiha;1259
509;KedusGiorgis;1257
510;SigmaOlomouc;1257
511;Stabæk;1256
512;Bohemians1905;1251
513;PortlandTimbers;1249
514;ZbrojovkaBrno;1248
515;Vardar;1245
516;MuangThongUnited;1243
517;GórnikZabrze;1239
518;SudAmérica;1238
519;Heerenveen;1234
520;Mechelen;1234
521;Antwerp;1232
522;Göztepe;1230
523;SportivoTrinidense;1229
524;Emelec;1226
525;SantosdeGuápiles;1215
526;SkënderbeuKorçë;1213
527;RodaJC;1212
528;Dunav2010;1200
529;Randers;1186
530;PérezZeledón;1185
531;Tromsø;1178
532;LokomotivPlovdiv;1178
533;Elfsborg;1178
534;Hammarby;1178
535;Hearts;1175
536;Empoli;1175
537;Silkeborg;1174
538;SønderjyskE;1173
539;Zürich;1173
540;Qarabağ;1169
541;TractorSazi;1166
542;Kilmarnock;1164
543;DniproDnipropetrovsk;1159
544;BidvestWits;1150
545;Sirius;1147
546;VisselKobe;1145
547;NewEngland;1142
548;NewcastleUnited;1139
549;Lokeren;1131
550;Lokeren;1131
551;PartickThistle;1125
552;OFKPirin;1124
553;ChacaritaJuniors;1123
554;Ermis;1122
555;Sandefjord;1116
556;Troyes;1113
557;Motherwell;1112
558;Aris;1110
559;RealSaltLake;1109
560;Larissa;1101
561;PiastGliwice;1100
562;MelbourneVictory;1100
563;AsterasTripolis;1099
564;Petrojet;1094
565;Aswan;1094
566;IroniKiryatShmona;1094
567;YeniMalatyaspor;1086
568;ChernoMore;1083
569;Orenburg;1080
570;MaccabiHaifa;1080
571;PhiladelphiaUnion;1078
572;Granada;1078
573;HamiltonAcademical;1076
574;Hibernian;1073
575;SpartaRotterdam;1070
576;AGF;1060
577;ZemplínMichalovce;1060
578;Osijek;1058
579;IFKGöteborg;1054
580;Karviná;1054
581;RadnikSurdulica;1050
582;KrylyaSovetov;1049
583;Platanias;1046
584;Palermo;1044
585;RossCounty;1039
586;Paykan;1034
587;AlNasrTaa'den;1032
588;Lorient;1029
589;GostareshFooladTabriz;1025
590;SPAL;1023
591;Örebro;1023
592;Saipa;1019
593;PASGiannina;1016
594;Horsens;1016
595;PadidehKhorasan;1014
596;Slovácko;1014
597;SaganTosu;1012
598;DeportesIquique;1010
599;NeaSalamis;1005
600;CracoviaKraków;1000
601;ASEupen;999
602;Aalesund;992
603;Kalmar;992
604;Limón;990
605;SKAKhabarovsk;987
606;Middlesbrough;981
607;JönköpingsSödra;977
608;BačkaPalanka;975
609;ElDaklyeh;972
610;EthnikosAchna;965
611;GIFSundsvall;961
612;PerthGlory;960
613;Sepahan;954
614;Juventud;953
615;WolfsbergerAC;936
616;VysočinaJihlava;935
617;DeportivoMorón;935
618;UniversidadCatólica;928
619;Ohod;927
620;PogońSzczecin;925
621;Levadiakos;925
622;Foolad;924
623;PlazaColonia;922
624;Nitra;918
625;Dundee;915
626;Tanta;912
627;ElEntagElHarby;912
628;Nancy;906
629;Kerkyra;905
630;ZlatéMoravce;904
631;VegaltaSendai;902
632;OrlandoCity;902
633;LAGalaxy;900
634;Panaitolikos;899
635;Sogndal;899
636;DesportivoAves;898
637;HapoelAshkelon;891
638;MontrealImpact;888
639;HellasVerona;887
640;MinnesotaUnited;881
641;Tokyo;880
642;ConsadoleSapporo;880
643;SanatNaft;879
644;Rizespor;875
645;MelbourneCity;856
646;ElSharqiya;851
647;Nieciecza;850
648;Hobro;848
649;NewcastleJets;837
650;Ashdod;837
651;ColoradoRapids;836
652;Arouca;825
653;Alajuelense;825
654;YanbianFunde;821
655;Portimonense;820
656;LASKLinz;818
657;HapoelRa'anana;810
658;RadBeograd;800
659;LDUQuito;780
660;DCUnited;780
661;LiaoningKaixin;778
662;BoracČačak;775
663;JavorIvanjica;763
664;AlRayyan;750
665;Cartaginés;750
666;Quilmes;749
667;ShimizuS-Pulse;748
668;Domžale;745
669;Viking;744
670;AlJazira;737
671;Alcorcón;735
672;BusanI'Park;733
673;Olympiakos;732
674;SanfrecceHiroshima;726
675;Adanaspor;720
676;Halmstad;713
677;Sunderland;708
678;Senica;706
679;Podbrezová;706
680;MaccabiNetanya;702
681;VVV;699
682;Sūduva;698
683;Bastia;686
684;VentforetKofu;682
685;St.Pölten;676
686;MačvaŠabac;675
687;HajdukSplit;668
688;KaizerChiefs;663
689;CAPSUnited;661
690;OmiyaArdija;656
691;Iraklis;655
692;CapeTownCity;651
693;Cotonsport;645
694;PanduriiTârguJiu;644
695;WellingtonPhoenix;628
696;VitaClub;623
697;HapoelTelAviv;621
698;AFCEskilstuna;620
699;AlbirexNiigata;616
700;AlbirexNiigata;616
701;Vaduz;610
702;NaftTehran;609
703;ParsJamBushehr;609
704;Mashhad;602
705;Paphos;600
706;Pescara;587
707;AlWahda;579
708;CentralCoastMariners;571
709;UCR;570
710;AlkiOroklini;570
711;MunicipalLiberia;570
712;Horoya;566
713;Atlanta;561
714;Zulia;560
715;Lokomotiv;552
716;MokpoCity;550
717;Nacional;550
718;Trakai;545
719;PolokwaneCity;544
720;NEC;540
721;TatranPrešov;536
722;Gaziantepspor;536
723;Sepsi;536
724;Bunyodkor;526
725;SandecjaNowySącz;525
726;Zemun;525
727;ÁrabeUnido;524
728;IndependientedelValle;520
729;RCK;520
730;Videoton;519
731;AlMerreikh;511
732;NACBreda;508
733;Poprad;508
734;Ried;506
735;Příbram;503
736;SuperSportUnited;500
737;PlatinumStars;500
738;AlKhaleej;495
739;SabaQom;489
740;Karmiotissa;486
741;EnuguRangers;477
742;GórnikŁęczna;475
743;VPS;473
744;BloemfonteinCeltic;469
745;ShanghaiShenxin;455
746;FCHelsingør;453
747;Viborg;452
748;Lamia;451
749;RuchChorzów;450
750;Carmelita;450
751;UniónEspañola;447
752;InvernessCT;446
753;Shkendija;439
754;FerroviárioBeira;434
755;HapoelKfarSaba;432
756;BaníkOstrava;431
757;HradecKrálové;426
758;GPA;424
759;Veria;416
760;MaritzburgUnited;413
761;Westerlo;407
762;GoAheadEagles;396
763;AlHilalOmdurman;396
764;TârguMureş;395
765;AjaxCapeTown;392
766;Internacional;392
767;Paraná;392
768;GoldenArrows;391
769;Bolívar;384
770;BYC;381
771;Neftohimik;377
772;NoviPazar;375
773;SportfreundeLotte;374
774;Paderborn;373
775;NoviPazar;375
776;SportfreundeLotte;374
777;Paderborn;373
778;Universitario;369
779;İnterBakı;368
780;Mladost;366
781;SanCarlos;360
782;Irtysh;355
783;Baroka;349
784;Opava;348
785;LokomotivG.Oryahovitsa;348
786;Skalica;339
787;ApollonSmirnis;338
788;FUSRabat;334
789;Melgar;330
790;OrlandoPirates;328
791;SportBoys;328
792;JuventusBucureşti;323
793;Millwall;318
794;LincolnCity;318
795;SepidroodRasht;315
796;AlWahda;315
797;FolaEsch;310
798;Esbjerg;310
799;KCCA;309
800;FreeStateStars;305
801;HighlandsPark;305
802;RiversUnited;305
803;DinamoMinsk;303
804;MetalacGM;300
805;DeportivoAnzoátegui;300
806;Tom'Tomsk;300
807;Etar;297
808;Cesena;294
809;Belén;285
810;DinamoZagreb;283
811;Seongnam;275
812;LuchVladivostok;269
813;Shinnik;269
814;AvangardKursk;269
815;ChippaUnited;262
816;MachineSazi;258
817;Qabala;255
818;Vendsyssel;254
819;Borčice;254
820;LiptovskýMikuláš;254
821;LéopardsdeDolisié;252
822;Cambuur;251
823;ArminiaBielefeld;249
824;AS-FAN;247
825;AS-FAN;247
826;ŠirokiBrijeg;246
827;Alashkert;245
828;YoungAfricans;241
829;UMSdeLoum;241
830;SportingCristal;236
831;Farense;232
832;Žalgiris;229
833;Cincinnati;228
834;Valletta;224
835;FréjusSt-Raphaël;220
836;Hibernians;220
837;Everton;219
838;ShamrockRovers;218
839;Zira;217
840;HapoelAcre;216
841;Rabotnički;213
842;Lovech;209
843;AlAdalh;203
844;ClubUniversitario;203
845;Wajj;203
846;NeiMongolZhongyou;195
847;HeilongjiangLavaSpring;195
848;Hangzhou;195
849;AtléticoVenezuela;192
850;AtléticoVenezuela;192
851;FuerzaAmarilla;192
852;NõmmeKalju;188
853;Trelleborg;187
854;BBErzurumspor;184
855;BatmanPetrolspor;184
856;Eyüpspor;184
857;Kahramanmaraşspor;184
858;İstanbulspor;184
859;SivasBelediyespor;184
860;Bucaspor;184
861;AnkaraDemirspor;184
862;Giresunspor;184
863;Nasaf;184
864;Boluspor;184
865;Manisaspor;184
866;Volyn;183
867;Kairat;181
868;JSSaoura;176
869;Lviv;175
870;Montana;174
871;ProgrèsNiedercorn;174
872;Kukësi;172
873;O'Higgins;165
874;OrientePetrolero;165
875;UniversidadCatólica;162
876;Željezničar;161
877;CNaPSSport;158
878;CovaPiedade;154
879;ChrobryGłogów;151
880;ElNacional;150
881;Liepāja;148
882;UniónMagdalena;148
883;CorkCity;148
884;Mounana;148
885;Ferencváros;148
886;Avranches;147
887;FH;147
888;Linfield;147
889;Córdoba;147
890;AyrUnited;147
891;JohorDarulTa'zim;146
892;Zaria;145
893;Mjøndalen;140
894;Brommapojkarna;140
895;TPMazembe;138
896;Colo-Colo;137
897;AlWihdat;137
898;KR;137
899;VitoshaBistritsa;135
900;SantaCruz;131
901;SuzhouDongwu;130
902;SpišskáNováVes;127
903;Fredericia;127
904;Næstved;127
905;SpartakMedzev;127
906;DeportivoTáchira;123
907;AdanaDemirspor;123
908;Orhangazispor;123
909;Hartberg;116
910;AustriaKlagenfurt;116
911;Wimpassing;116
912;Miami;114
913;SacramentoRepublic;114
914;ChojniczankaChojnice;113
915;Eastern;113
916;WigrySuwałki;113
917;St.Mirren;110
918;Connah'sQuay;103
919;AlianzaLima;100
920;Valur;99
921;ASPL2000;99
922;Winterthur;99
923;Gorica;99
924;HJK;99
