;Equipe;Points
0;Barcelona;18896
1;Sevilla;13198
2;BayernMünchen;13021
3;RealMadrid;13015
4;Juventus;12675
5;Wolfsburg;11303
6;AtléticoMadrid;11075
7;Internacional;10784
8;RiverPlate;10718
9;Napoli;10386
10;Arsenal;9962
11;SãoPaulo;9806
12;Corinthians;9758
13;Fiorentina;9604
14;PSG;9482
15;Porto;9423
16;BorussiaDortmund;9327
17;AthleticClub;9182
18;Villarreal;9155
19;Santos;8950
20;DynamoKyiv;8876
21;Valencia;8702
22;JeonbukMotors;8405
23;BayerLeverkusen;8400
24;AtléticoMineiro;8332
25;Zenit;8329
26;Seoul;8313
27;SportingCP;8224
28;ManchesterUnited;8222
29;AlHilal;8173
30;ManchesterCity;8043
31;SantaFe;8032
32;SuwonBluewings;8016
33;Grêmio;8000
34;Chelsea;7849
35;Lazio;7826
36;Palmeiras;7700
37;BorussiaM'gladbach;7690
38;Cruzeiro;7614
39;Seongnam;7552
40;DniproDnipropetrovsk;7488
41;BocaJuniors;7462
42;Monaco;7246
43;Liverpool;7056
44;Roma;6972
45;Benfica;6971
46;ShakhtarDonetsk;6963
47;AtléticoPR;6938
48;TottenhamHotspur;6835
49;RacingClub;6789
50;GuangzhouEvergrande;6770
51;Schalke04;6647
52;SportingBraga;6551
53;AlAhly;6543
54;SportRecife;6382
55;Fluminense;6350
56;ClubBrugge;6326
57;TigresUANL;6326
58;CeltadeVigo;6200
59;AlAhli;6097
60;Chapecoense;6084
61;GambaOsaka;6044
62;PSV;6025
63;Huracán;6000
64;PohangSteelers;5992
65;Estudiantes;5977
66;SanLorenzo;5957
67;Internazionale;5954
68;Basel;5890
69;CSKAMoskva;5761
70;Ajax;5742
71;Krasnodar;5581
72;Independiente;5522
73;Espanyol;5500
74;Gent;5497
75;IncheonUnited;5481
76;Everton;5420
77;Torino;5414
78;LeicesterCity;5388
79;América;5369
80;Saint-Étienne;5328
81;Guaraní;5292
82;Ulsan;5269
83;AlNassr;5264
84;PontePreta;5200
85;Fenerbahçe;5164
86;RosarioCentral;5129
87;Flamengo;5050
88;CrystalPalace;5005
89;JeonnamDragons;4929
90;OlympiakosPiraeus;4928
91;Figueirense;4900
92;VascodaGama;4850
93;Lanús;4846
94;DeportivoLaCoruña;4800
95;HerthaBSC;4780
96;Southampton;4780
97;Smouha;4748
98;Augsburg;4738
99;StokeCity;4715
