;Equipe;Points
0;RealMadrid;15239
1;Barcelona;14840
2;AtléticoMadrid;13709
3;RiverPlate;13181
4;Juventus;12219
5;Sevilla;11915
6;Palmeiras;11850
7;BayernMünchen;11751
8;Grêmio;11584
9;BocaJuniors;10598
10;Liverpool;10576
11;Cruzeiro;9856
12;RacingClub;9743
13;Flamengo;9683
14;ManchesterCity;9104
15;Arsenal;8902
16;Valencia;8716
17;DefensayJusticia;8691
18;AtléticoPR;8442
19;América;8353
20;Independiente;8295
21;Napoli;8148
22;TottenhamHotspur;8050
23;Roma;8029
24;Porto;8016
25;PSG;7952
26;Junior;7838
27;GodoyCruz;7751
28;Chelsea;7686
29;Lazio;7589
30;RBLeipzig;7578
31;RealBetis;7567
32;BorussiaDortmund;7556
33;ManchesterUnited;7529
34;EintrachtFrankfurt;7359
35;AtléticoTucumán;7348
36;JeonbukMotors;7309
37;OlympiqueLyonnais;7289
38;Salzburg;7243
39;Corinthians;7194
40;SportingCP;7031
41;Santos;6808
42;DeportivoAlavés;6790
43;Milan;6645
44;Huracán;6627
45;ShakhtarDonetsk;6586
46;Ajax;6541
47;Ulsan;6452
48;Villarreal;6451
49;OlympiqueMarseille;6416
50;Schalke04;6390
51;RosarioCentral;6389
52;AtléticoNacional;6389
53;SuwonBluewings;6313
54;TigresUANL;6263
55;KashimaAntlers;6191
56;VélezSarsfield;6130
57;Internacional;6110
58;Benfica;6089
59;DynamoKyiv;6074
60;Internazionale;6016
61;SãoPaulo;5985
62;Bahia;5922
63;SantaFe;5832
64;Estudiantes;5819
65;Espanyol;5802
66;Genk;5790
67;CSKAMoskva;5751
68;VascodaGama;5739
69;Banfield;5687
70;AlAhli;5680
71;BayerLeverkusen;5673
72;SanLorenzo;5654
73;Getafe;5611
74;Monterrey;5587
75;SantosLaguna;5518
76;ShanghaiSIPG;5507
77;AtléticoMineiro;5459
78;CruzAzul;5435
79;Toluca;5417
80;Colón;5384
81;TalleresCórdoba;5373
82;Levante;5360
83;Fluminense;5342
84;Zenit;5332
85;Nacional;5246
86;GuangzhouEvergrande;5217
87;Krasnodar;5140
88;Leganés;5066
89;Atalanta;5042
90;Newell'sOldBoys;5017
91;UniónSantaFe;5004
92;AlHilal;4976
93;CeltadeVigo;4969
94;Bordeaux;4967
95;GimnasiaLaPlata;4926
96;Girona;4921
97;Guadalajara;4907
98;Daegu;4875
99;LokomotivMoskva;4847
100;Hoffenheim;4828
101;StandardLiège;4766
102;SpartakMoskva;4753
103;Eibar;4725
104;Botafogo;4720
105;SlaviaPraha;4716
106;PumasUNAM;4715
107;PAOK;4660
108;SportingBraga;4650
109;RealSociedad;4571
110;Millonarios;4544
111;Beşiktaş;4523
112;ViktoriaPlzeň;4457
113;Celtic;4439
114;Galatasaray;4410
115;Rennes;4394
116;CrvenaZvezda;4385
117;Tijuana;4384
118;Chapecoense;4294
119;CerroPorteño;4278
120;ShandongLuneng;4278
121;AthleticClub;4273
122;ArgentinosJuniors;4247
123;YoungBoys;4236
124;AlNassr;4217
125;Lanús;4195
126;Gyeongnam;4155
127;Apollon;4148
128;Tigre;4130
129;JejuUnited;4092
130;BorussiaM'gladbach;4062
131;Morelia;4059
132;OnceCaldas;4053
133;DeportesTolima;4051
134;BeijingGuoan;4042
135;IndependienteMedellín;4034
136;Wolfsburg;4016
137;Belgrano;4001
138;Fenerbahçe;3953
139;Fiorentina;3948
140;NewYorkRB;3899
141;WerderBremen;3897
142;København;3894
143;Ceará;3888
144;Stuttgart;3876
145;Olimpia;3837
146;Pachuca;3802
147;Libertad;3789
148;Sampdoria;3749
149;MalmöFF;3738
150;Torino;3732
151;SportRecife;3716
152;AEKLarnaca;3708
153;Persepolis;3696
154;Monaco;3695
155;AméricaMineiro;3676
156;AFCBournemouth;3630
157;PSV;3623
158;Rangers;3612
159;Querétaro;3604
160;TianjinQuanjian;3560
161;DeportivoCali;3508
162;PohangSteelers;3504
163;Patronato;3500
164;ClubBrugge;3499
165;APOEL;3494
166;Gent;3448
167;Puebla;3444
168;OlympiakosPiraeus;3414
169;Midtjylland;3412
170;WestHamUnited;3409
171;Vitória;3409
172;Jablonec;3405
173;FCSB;3399
174;LeicesterCity;3399
175;Sassuolo;3398
176;HerthaBSC;3383
177;SanMartínSanJuan;3382
178;Saint-Étienne;3373
179;Basel;3339
180;LaEquidad;3338
181;Rosenborg;3311
182;AlFaisaly;3245
183;İstanbulBaşakşehir;3233
184;Everton;3218
185;Peñarol;3217
186;AlDuhail;3213
187;Esteghlal;3209
188;Partizan;3208
189;Oleksandria;3203
190;Watford;3202
191;AlShabab;3200
192;León;3193
193;CrystalPalace;3181
194;Mainz05;3157
195;Ludogorets;3154
196;AEKAthens;3153
197;SpartakTrnava;3124
198;Brighton&HoveAlbion;3087
199;AlTaawon;3071
200;RapidWien;3058
201;Genoa;3031
202;Montpellier;3028
203;MaccabiTelAviv;3017
204;NewcastleUnited;3013
205;AlIttifaq;2997
206;Freiburg;2991
207;Zamalek;2986
208;SlovanBratislava;2972
209;Gangwon;2936
210;Brøndby;2933
211;Burnley;2928
212;Feyenoord;2898
213;Aldosivi;2886
214;Toronto;2880
215;ArsenalTula;2868
216;Lille;2864
217;RionegroÁguilas;2852
218;Nice;2841
219;Southampton;2819
220;IncheonUnited;2812
221;Necaxa;2810
222;Vorskla;2804
223;Zürich;2803
224;AtléticoBucaramanga;2802
225;Anderlecht;2793
226;RubinKazan';2781
227;JiangsuSuning;2764
228;Cagliari;2746
229;SPAL;2739
230;AlFateh;2717
231;AlFeiha;2706
232;Sarpsborg08;2704
233;DesportivoAves;2681
234;AméricadeCali;2672
235;ShanghaiShenhua;2668
236;Zorya;2656
237;CSKASofia;2656
238;Rostov;2631
239;CFRCluj;2626
240;LegiaWarszawa;2613
241;Molde;2613
242;JeonnamDragons;2570
243;SangjuSangmu;2560
244;Augsburg;2539
245;Akhisarspor;2524
246;Seoul;2520
247;Ural;2508
248;SeattleSounders;2484
249;LASKLinz;2481
250;Trabzonspor;2464
251;VitóriaGuimarães;2463
252;AlQuadisiya;2449
253;Strasbourg;2441
254;AlIttihad;2410
255;AZ;2406
256;AtléticoHuila;2397
257;RioAve;2376
258;NacionalAsunción;2376
259;AIK;2361
260;HapoelBe'erSheva;2359
261;DinamoMoskva;2352
262;DinamoZagreb;2339
263;JaguaresdeCórdoba;2334
264;Trenčín;2324
265;LobosBUAP;2324
266;Vitesse;2317
267;GuangzhouR&F;2307
268;PatriotasBoyacá;2303
269;ZobAhan;2302
270;Temperley;2299
271;SpartaPraha;2297
272;CerezoOsaka;2296
273;Atlas;2290
274;YeniMalatyaspor;2279
275;MelbourneVictory;2277
276;AkhmatGrozny;2246
277;SoldeAmérica;2244
278;ÖstersundsFK;2230
279;Kasımpaşa;2228
280;Ufa;2219
281;AlBatin;2218
282;KawasakiFrontale;2211
283;Envigado;2187
284;HebeiCFFC;2185
285;Veracruz;2183
286;Kortrijk;2179
287;AmiensSC;2176
288;MisrLelMakasa;2159
289;Hannover96;2155
290;CSUCraiova;2152
291;Caen;2150
292;Moreirense;2147
293;Mariupol';2135
294;Konyaspor;2134
295;Nantes;2132
296;AngersSCO;2118
297;Udinese;2117
298;Dijon;2114
299;AtlantaUnited;2105
300;Portimonense;2102
301;Belenenses;2096
302;Karpaty;2080
303;RealValladolid;2078
304;AlRaed;2076
305;JagielloniaBiałystok;2068
306;SportingCharleroi;2064
307;BeijingRenhe;2062
308;Žilina;2050
309;Sepsi;2038
310;Paraná;2038
311;AsyoutySport;2036
312;Hibernian;2031
313;Toulouse;2025
314;Norrköping;2024
315;Antalyaspor;2021
316;SanMartínTucumán;2003
317;Djurgården;1998
318;SigmaOlomouc;1995
319;Sydney;1989
320;DalianYifang;1983
321;Bologna;1975
322;Aberdeen;1972
323;AlSadd;1967
324;VitóriaSetúbal;1954
325;Astana;1948
326;Anorthosis;1948
327;AlianzaPetrolera;1938
328;HenanJianye;1930
329;LevskiSofia;1925
330;DAC;1917
331;Boavista;1915
332;Luzern;1912
333;Kayserispor;1911
334;BaníkOstrava;1894
335;RadničkiNiš;1893
336;DinamoBucureşti;1889
337;Chievo;1881
338;Dallas;1878
339;Antwerp;1876
340;NeaSalamis;1873
341;Sivasspor;1872
342;WolverhamptonWanderers;1857
343;Kilmarnock;1852
344;SwanseaCity;1845
345;GeneralDíaz;1827
346;ChongqingDangdaiLifan;1824
347;PortlandTimbers;1822
