;Equipe;Points
0;Barcelona;15917
1;Liverpool;15510
2;Valencia;12990
3;Flamengo;12536
4;ManchesterCity;12324
5;RiverPlate;12202
6;RealMadrid;11475
7;Chelsea;10845
8;BocaJuniors;10753
9;Monterrey;10693
10;Palmeiras;10669
11;Juventus;10265
12;AtléticoMadrid;10169
13;BayernMünchen;10167
14;Grêmio;9911
15;AlHilal;9837
16;TigresUANL;9759
17;PSG;9395
18;Sevilla;9335
19;AthleticoParanaense;9227
20;GuangzhouEvergrande;9002
21;Getafe;8931
22;Arsenal;8845
23;TottenhamHotspur;8491
24;RBLeipzig;8459
25;Ajax;8452
26;ShanghaiSIPG;8377
27;Internacional;8352
28;Napoli;8340
29;Internazionale;8306
30;SantosLaguna;8189
31;Benfica;8059
32;AlNassr;7883
33;Atalanta;7753
34;AtléticoMineiro;7715
35;Roma;7686
36;León;7590
37;Ulsan;7511
38;EintrachtFrankfurt;7501
39;KashimaAntlers;7429
40;AlAhly;7383
41;Porto;7295
42;Villarreal;7282
43;JeonbukMotors;7261
44;ShandongLuneng;7200
45;BeijingGuoan;7111
46;ManchesterUnited;7088
47;WolverhamptonWanderers;7047
48;AthleticClub;6881
49;Espanyol;6830
50;Lazio;6791
51;Lanús;6720
52;Zenit;6717
53;AlIttihad;6605
54;BorussiaDortmund;6563
55;RealSociedad;6436
56;América;6429
57;ClubBrugge;6356
58;Santos;6238
59;DeportesTolima;6237
60;BayerLeverkusen;6203
61;MamelodiSundowns;6185
62;Necaxa;6161
63;SanfrecceHiroshima;6123
64;Rennes;6085
65;Corinthians;6064
66;OlympiqueLyonnais;6005
67;RealBetis;5879
68;AlAhli;5841
69;OlympiakosPiraeus;5833
70;ArgentinosJuniors;5810
71;Cruzeiro;5744
72;Independiente;5718
73;AlTaawon;5705
74;Krasnodar;5647
75;RacingClub;5600
76;SanLorenzo;5549
77;Wolfsburg;5544
78;CerroPorteño;5518
79;Junior;5515
80;SportingCP;5474
81;ShakhtarDonetsk;5473
82;SportingBraga;5458
83;SlaviaPraha;5448
84;AtlantaUnited;5425
85;DeportivoCali;5410
86;Celtic;5407
87;LokomotivMoskva;5397
88;BorussiaM'gladbach;5392
89;Salzburg;5387
90;UrawaReds;5328
91;Gent;5300
92;SãoPaulo;5269
93;ESTunis;5217
94;DefensayJusticia;5207
95;Levante;5198
96;LeicesterCity;5192
97;Libertad;5189
98;Fluminense;5147
99;TalleresdeCórdoba;5108
100;CruzAzul;4998
101;VélezSarsfield;4979
102;Daegu;4977
103;Milan;4942
104;Torino;4928
105;Pachuca;4910
106;Bahia;4883
107;Colón;4836
108;Olimpia;4816
109;KawasakiFrontale;4803
110;Basel;4803
111;JiangsuSuning;4770
112;CFRCluj;4753
113;Rangers;4737
114;LASK;4702
115;DynamoKyiv;4691
116;Pyramids;4670
117;Tijuana;4644
118;SuwonBluewings;4636
119;AméricadeCali;4554
120;RosarioCentral;4525
121;Unión;4522
122;AtléticoTucumán;4522
123;AtléticoNacional;4508
124;København;4508
125;Botafogo;4506
126;SangjuSangmu;4498
127;Eibar;4455
128;Fortaleza;4430
129;Estudiantes;4411
130;Leganés;4406
131;YokohamaF.Marinos;4388
132;AZ;4377
133;IndependienteMedellín;4366
134;CrystalPalace;4319
135;Zamalek;4315
136;CSKAMoskva;4287
137;Strasbourg;4249
138;Lille;4242
139;Goiás;4227
140;Morelia;4195
141;CrvenaZvezda;4159
142;Newell'sOldBoys;4145
143;LosAngeles;4139
144;RealValladolid;4109
145;Hoffenheim;4103
146;PSV;4100
147;StandardLiège;4063
148;DeportivoAlavés;4059
149;Tokyo;4013
150;MalmöFF;3996
151;VascodaGama;3981
152;WerderBremen;3973
153;PohangSteelers;3936
154;Seoul;3935
155;ShanghaiShenhua;3915
156;Millonarios;3873
157;Saint-Étienne;3866
158;Bologna;3840
159;Guadalajara;3839
160;Galatasaray;3828
161;Cagliari;3826
162;DalianYifang;3825
163;Burnley;3818
164;OlympiqueMarseille;3818
165;VisselKobe;3812
166;İstanbulBaşakşehir;3796
167;Schalke04;3769
168;Gangwon;3760
169;NewcastleUnited;3751
170;Toluca;3749
171;VitóriaGuimarães;3740
172;Nantes;3708
173;CerezoOsaka;3699
174;APOEL;3697
175;TianjinTeda;3690
176;WuhanZall;3690
177;HenanJianye;3690
178;CentralCórdobaSdE;3686
179;Puebla;3659
180;WestHamUnited;3633
181;DeportivoPasto;3630
182;SportingKC;3624
183;Esteghlal;3598
184;NewYorkCity;3596
185;PAOK;3580
186;Ludogorets;3573
187;Atlas;3572
188;PumasUNAM;3570
189;Rostov;3556
190;Nacional;3556
191;SlovanBratislava;3552
192;Watford;3543
193;AlWahda;3526
194;Partizan;3520
195;Gyeongnam;3512
196;Persepolis;3509
197;MinnesotaUnited;3496
198;Peñarol;3495
199;Antwerp;3495
200;ZobAhan;3493
201;Querétaro;3482
202;Patronato;3445
203;Trabzonspor;3441
204;YoungBoys;3422
205;Everton;3410
206;Udinese;3408
207;SpartakMoskva;3389
208;ArsenalTula;3388
209;Augsburg;3384
210;AlFaisaly;3369
211;AlRaed;3369
212;LaEquidad;3368
213;CeltadeVigo;3366
214;SeattleSounders;3352
215;Ural;3350
216;Reims;3339
217;AlShabab;3316
218;AEKAthens;3308
219;Brighton&HoveAlbion;3305
220;GimnasiaLaPlata;3304
221;Genk;3278
222;Southampton;3253
223;ChongqingDangdaiLifan;3240
224;HoustonDynamo;3225
225;Banfield;3216
226;Parma;3173
227;Ceará;3169
228;Feyenoord;3158
229;Fiorentina;3151
230;Ismaily;3148
231;ViktoriaPlzeň;3136
232;Freiburg;3123
233;OitaTrinita;3120
234;Mainz05;3112
235;FortunaDüsseldorf;3109
236;Seongnam;3092
237;Toronto;3091
238;OnceCaldas;3089
239;PortlandTimbers;3078
240;CúcutaDeportivo;3069
241;Huracán;3057
242;OrlandoPirates;3050
243;Sampdoria;3048
244;Monaco;3030
245;Arsenal;2989
246;Nice;2975
247;AngersSCO;2974
248;AFCBournemouth;2964
249;Fenerbahçe;2944
250;AlMasry;2944
251;AlianzaPetrolera;2926
252;GodoyCruz;2921
253;Montpellier;2919
254;HerthaBSC;2888
255;GambaOsaka;2886
256;ConsadoleSapporo;2885
257;AlSadd;2882
258;GuangzhouR&F;2880
259;PhiladelphiaUnion;2859
260;SantaFe;2852
261;ShimizuS-Pulse;2843
262;AlIttihad;2838
263;Molde;2813
264;AlMokawloon;2812
265;TPMazembe;2805
266;FCSB;2789
267;Rosenborg;2769
268;RealSaltLake;2761
269;SPAL;2760
270;WydadCasablanca;2760
271;Beşiktaş;2719
272;DinamoZagreb;2712
273;NewYorkRB;2702
274;HebeiCFFC;2700
275;Zorya;2694
276;DCUnited;2684
277;Sassuolo;2671
278;LAGalaxy;2663
279;YeniMalatyaspor;2663
280;KaizerChiefs;2658
281;AkhmatGrozny;2654
282;Bordeaux;2611
283;CSKASofia;2611
284;SaganTosu;2609
285;Orenburg;2604
286;CSA;2600
287;Apollon;2589
288;Dallas;2586
289;Midtjylland;2582
290;Aldosivi;2581
291;AlFeiha;2581
292;ENPPI;2580
293;AIK;2547
294;Sepahan;2539
295;AEKLarnaca;2531
296;MaccabiTelAviv;2493
297;RioAve;2482
298;Huesca;2475
299;MaccabiHaifa;2466
300;Boavista;2441
301;AmiensSC;2440
302;PatriotasBoyacá;2438
303;NewEngland;2437
304;AlHazm;2431
305;Viitorul;2422
306;OrlandoCity;2412
307;Anderlecht;2410
308;SpartaPraha;2407
309;Chapecoense;2405
310;Zulte-Waregem;2395
311;SJEarthquakes;2390
312;IncheonUnited;2387
313;VegaltaSendai;2383
314;Tigre;2380
315;WolfsbergerAC;2379
316;Granada;2376
317;IndependientedelValle;2372
318;UniversitateaCraiova;2353
319;ShonanBellmare;2352
320;MladáBoleslav;2346
321;Oleksandria;2346
322;Moreirense;2341
323;RapidWien;2316
324;ShahrKhodrou;2308
325;LegiaWarszawa;2307
326;DinamoMoskva;2302
327;ClubGuaraní;2296
328;Rionegro;2295
329;Envigado;2293
330;SheffieldUnited;2289
331;Desna;2283
332;Osasuna;2277
333;Lamia;2272
334;NagoyaGrampus;2259
335;TianjinTianhai;2250
336;SportingCharleroi;2248
337;WillemII;2245
338;AtléticoBucaramanga;2243
339;BidvestWits;2240
340;ElGouna;2236
341;AlIttifaq;2234
342;LevskiSofia;2226
343;Aris;2202
344;Norrköping;2191
345;SuperSportUnited;2190
346;Brøndby;2180
347;RayoVallecano;2178
348;Genoa;2173
349;Ufa;2171
350;Djurgården;2160
351;SanatNaft;2151
352;UniónMagdalena;2145
353;Marítimo;2140
354;Nîmes;2136
355;RoyalExcelMouscron;2134
356;GoldenArrows;2122
357;Utrecht;2120
358;AEL;2114
359;Smouha;2112
360;Haugesund;2108
361;PiastGliwice;2106
362;Dijon;2106
363;HapoelBe'erSheva;2096
364;Emelec;2095
365;ColumbusCrew;2093
366;DAC;2091
367;LDUQuito;2090
368;TractorSazi;2088
369;Atromitos;2088
370;HarasElHodood;2084
371;Sivasspor;2083
372;Alanyaspor;2082
373;ColoradoRapids;2070
374;ChicagoFire;2068
375;LechiaGdańsk;2062
376;Tondela;2052
377;Žilina;2051
378;AGF;2045
379;Häcken;2037
380;Hammarby;2035
381;Vitesse;2033
382;Rizespor;2029
383;MontrealImpact;2021
384;Čukarički;2015
385;Mariupol';2013
386;HighlandsPark;2001
387;Aberdeen;1998
388;Sydney;1992
389;RadničkiNiš;1988
390;Viking;1987
391;Jablonec;1984
392;MaritzburgUnited;1981
393;AlFateh;1979
394;Liverpool;1972
395;GazMetanMediaş;1968
396;Astra;1954
397;SoldeAmérica;1947
398;MatsumotoYamaga;1947
399;Foolad;1944
400;DinamoBucureşti;1926
401;Botoşani;1913
402;VitóriaSetúbal;1912
403;Odd;1909
404;WadiDegla;1904
405;JejuUnited;1895
406;Groningen;1891
407;Shenzhen;1890
408;OFI;1884
409;JúbiloIwata;1882
410;Kortrijk;1880
411;Slovácko;1871
412;Göztepe;1869
413;RubinKazan;1867
414;SpartakTrnava;1864
415;JaguaresdeCórdoba;1854
416;SturmGraz;1843
417;CracoviaKraków;1841
418;Herediano;1827
419;LokomotivPlovdiv;1820
420;CapeTownCity;1818
421;AsterasTripolis;1816
422;AlWahda;1811
423;DeportivoSaprissa;1809
424;KrylyaSovetov;1807
425;Belenenses;1800
426;SantaClara;1798
427;LobosBUAP;1786
428;AtléticoSanLuis;1786
429;Girona;1783
430;Horoya;1782
431;BaníkOstrava;1775
432;Simba;1773
433;UnionBerlin;1760
434;CerroLargo;1746
435;ElGeish;1740
436;Ferencváros;1735
437;Panionios;1734
438;ElEntagElHarby;1732
439;SportivoLuqueño;1729
440;RiverPlate;1729
441;Nacional;1728
442;MisrLelMakasa;1728
443;Randers;1726
444;BloemfonteinCeltic;1716
445;BeitarJerusalem;1714
446;MachineSazi;1702
447;Anorthosis;1690
448;Bodø/Glimt;1689
449;Lugano;1680
450;Larissa;1680
451;Panathinaikos;1677
452;VancouverWhitecaps;1674
453;ChippaUnited;1668
454;SigmaOlomouc;1663
455;AtléticoHuila;1660
456;Motherwell;1654
457;Ružomberok;1639
458;Petrojet;1634
459;Toulouse;1627
460;PolokwaneCity;1624
461;Heerenveen;1624
462;SlovanLiberec;1623
463;Sint-Truiden;1623
