;Equipe;Points
0;RealMadrid;16479
1;Barcelona;16423
2;AtléticoMadrid;13560
3;Sevilla;13160
4;BayernMünchen;12775
5;ShakhtarDonetsk;11764
6;BorussiaDortmund;11391
7;AtléticoNacional;11054
8;JeonbukMotors;10892
9;Seoul;10636
10;AthleticClub;10420
11;Juventus;10394
12;Villarreal;10326
13;América;9606
14;PSG;9571
15;AtléticoMineiro;9527
16;ManchesterCity;9390
17;Benfica;9193
18;TigresUANL;9037
19;Zamalek;8690
20;Palmeiras;8643
21;Liverpool;8317
22;Grêmio;8160
23;ManchesterUnited;7961
24;PumasUNAM;7955
25;Napoli;7780
26;Corinthians;7770
27;Porto;7717
28;CeltadeVigo;7680
29;Pachuca;7543
30;SãoPaulo;7464
31;Arsenal;7455
32;AlAhly;7391
33;Roma;7359
34;TottenhamHotspur;7352
35;Monaco;7326
36;RosarioCentral;7174
37;BayerLeverkusen;7106
38;Santos;7092
39;Flamengo;6834
40;SportingBraga;6831
41;SanLorenzo;6799
42;Toluca;6715
43;Valencia;6504
44;RiverPlate;6477
45;SuwonBluewings;6416
46;LeicesterCity;6378
47;Chapecoense;6235
48;LasPalmas;6230
49;Fenerbahçe;6216
50;Monterrey;6211
51;RealSociedad;6062
52;BocaJuniors;6037
53;SpartaPraha;6021
54;ShanghaiSIPG;5985
55;GuangzhouEvergrande;5980
56;Chelsea;5942
57;Zenit;5872
58;SportingCP;5828
59;Schalke04;5808
60;Cruzeiro;5744
61;Southampton;5718
62;København;5615
63;Internazionale;5569
64;Ajax;5552
65;León;5532
66;CerroPorteño;5519
67;SantaFe;5448
68;DynamoKyiv;5374
69;AtléticoPR;5351
70;Fiorentina;5301
71;Rostov;5295
72;Saint-Étienne;5236
73;Lazio;5220
74;Ulsan;5212
75;JiangsuSuning;5205
76;Anderlecht;5176
77;Milan;5176
78;Málaga;5174
79;Botafogo;5133
80;Lanús;5112
81;Guadalajara;5074
82;Krasnodar;5029
83;Wolfsburg;5025
84;Coritiba;5021
85;BorussiaM'gladbach;4992
86;SantosLaguna;4919
87;Sassuolo;4916
88;WestHamUnited;4895
89;Genk;4885
90;PontePreta;4873
91;Mainz05;4854
92;JejuUnited;4775
93;MamelodiSundowns;4754
94;RacingClub;4750
95;ShandongLuneng;4734
96;Tijuana;4713
97;CSKAMoskva;4699
98;PohangSteelers;4681
99;HerthaBSC;4681
100;Estudiantes;4665
101;Internacional;4656
102;EintrachtFrankfurt;4642
103;HapoelBe'erSheva;4634
104;OlympiqueLyonnais;4632
105;UrawaReds;4592
106;IndependientedelValle;4564
107;APOEL;4534
108;Nice;4514
109;Fluminense;4481
110;Eibar;4476
111;AZ;4474
112;Hoffenheim;4471
113;Querétaro;4469
114;Espanyol;4468
115;Feyenoord;4456
116;AlAhli;4364
117;Morelia;4329
118;JeonnamDragons;4282
119;RealBetis;4280
120;Medellín;4211
121;Vitória;4188
122;SportRecife;4180
123;Independiente;4150
124;GodoyCruz;4115
125;Osmanlıspor;4095
126;Salzburg;4088
127;Gent;4073
128;OlympiakosPiraeus;4072
129;Huracán;4070
130;GimnasiaLaPlata;4053
131;Junior;4042
132;Beşiktaş;4033
133;Ludogorets;4014
134;Basel;4009
135;Seongnam;3990
136;MaccabiTelAviv;3979
137;DniproDnipropetrovsk;3973
138;IncheonUnited;3968
139;Belgrano;3964
140;Zorya;3955
141;Nacional;3921
142;PSV;3908
143;Everton;3891
144;AlAin;3881
145;Puebla;3865
146;Olimpia;3858
147;Gwangju;3851
148;RioAve;3836
149;Dallas;3828
150;YoungBoys;3819
151;ViktoriaPlzeň;3815
152;Köln;3783
153;WerderBremen;3775
154;SpartakMoskva;3772
155;Celtic;3756
156;Ismaily;3753
157;AtléticoTucumán;3741
158;FCSB;3737
159;AlHilal;3735
160;Genoa;3638
161;WadiDegla;3634
162;Chievo;3631
163;SangjuSangmu;3631
164;Astra;3627
165;CruzAzul;3625
166;SportingGijón;3590
167;Atalanta;3589
168;Arouca;3588
169;OlympiqueMarseille;3587
170;StokeCity;3544
171;AlIttihad;3505
172;SantaCruz;3499
173;Figueirense;3492
174;ClubBrugge;3487
175;PAOK;3471
176;Torino;3471
177;Smouha;3437
178;LegiaWarszawa;3428
179;SwanseaCity;3424
180;Augsburg;3389
181;Granada;3386
182;ShanghaiShenhua;3383
183;Arsenal;3367
184;VitóriaGuimarães;3354
185;StandardLiège;3347
186;Tokyo;3346
187;Oleksandria;3336
188;DeportivoLaCoruña;3334
189;ElEntagElHarby;3318
190;WestBromwichAlbion;3292
191;Rosenborg;3286
192;AlMasry;3279
193;Guaraní;3261
194;Estoril;3210
195;Lille;3208
196;ENPPI;3200
197;VancouverWhitecaps;3178
198;AFCBournemouth;3177
199;Watford;3177
200;Suwon;3171
201;AEKLarnaca;3152
202;UniónSantaFe;3119
203;AustriaWien;3119
204;DefensayJusticia;3118
205;DeportivoCali;3109
206;SanfrecceHiroshima;3101
207;DeportivoSaprissa;3095
208;ElJaish;3088
209;NewYorkRB;3051
210;Libertad;3013
211;RBLeipzig;3009
212;VélezSarsfield;2993
213;Sunderland;2992
214;Vorskla;2980
215;SlovanLiberec;2977
216;GuangzhouR&F;2975
217;LokomotivMoskva;2970
218;Bordeaux;2948
219;Bologna;2947
220;Sampdoria;2926
221;CFRCluj;2923
222;Udinese;2916
223;Utrecht;2911
224;Apollon;2901
225;Atlas;2889
226;Guingamp;2884
227;SanMartínSanJuan;2869
228;RapidWien;2859
229;Brøndby;2847
230;Trenčín;2837
231;MladáBoleslav;2825
232;OmoniaNicosia;2825
233;PaçosdeFerreira;2813
234;Panathinaikos;2798
235;Konyaspor;2783
236;Galatasaray;2780
237;Ingolstadt;2773
238;HamburgerSV;2767
239;AlMokawloon;2765
240;Petrojet;2765
241;Midtjylland;2751
242;CrystalPalace;2734
243;CrvenaZvezda;2722
244;AkhmatGrozny;2722
245;ZESCOUnited;2701
246;Belenenses;2663
247;AEKAthens;2646
248;Rennes;2640
249;AmkarPerm';2632
250;SoldeAmérica;2611
251;Nantes;2597
252;SlaviaPraha;2586
253;Partizan;2580
254;Toulouse;2579
255;SportingCharleroi;2574
256;Herediano;2563
257;Millonarios;2557
258;RayoVallecano;2550
259;Necaxa;2546
260;Lokomotiv;2546
261;LAGalaxy;2541
262;PortlandTimbers;2536
263;PortlandTimbers;2536
264;CSUCraiova;2536
265;DeportesTolima;2531
266;KashimaAntlers;2530
267;İstanbulBaşakşehir;2529
268;ElGeish;2528
269;AlNasr;2528
270;Boavista;2524
271;Montpellier;2497
272;KVOostende;2496
273;Tigre;2495
274;Patronato;2495
275;BeijingGuoan;2472
276;Zulte-Waregem;2462
277;PatriotasBoyacá;2457
278;Bastia;2454
279;GambaOsaka;2449
280;Darmstadt98;2448
281;AlNassr;2447
282;AméricaMineiro;2436
283;DeportivoCapiatá;2430
284;Vojvodina;2428
285;Ufa;2399
286;TractorSazi;2398
287;ZobAhan;2372
288;HenanJianye;2364
289;Marítimo;2346
290;HebeiCFFC;2343
291;OlimpikDonetsk;2318
292;SeattleSounders;2314
293;ElDaklyeh;2291
294;Veracruz;2291
295;Žilina;2288
296;SønderjyskE;2282
297;MalmöFF;2276
298;Tondela;2273
299;IFKGöteborg;2266
300;Empoli;2264
301;Lorient;2258
302;Sion;2231
303;SportivoLuqueño;2230
304;SlovanBratislava;2229
305;Twente;2223
306;Heracles;2208
307;Heerenveen;2207
308;SpartakTrnava;2200
309;Nacional;2192
310;Anzhi;2189
311;Toronto;2188
312;AEL;2179
313;Banfield;2173
314;AlIttihad;2173
315;Norrköping;2172
316;Wanderers;2169
317;DinamoBucureşti;2162
318;KawasakiFrontale;2158
319;Palermo;2148
320;YanbianFunde;2145
321;ChongqingDangdaiLifan;2144
322;Aswan;2133
323;Aldosivi;2121
324;Sarmiento;2121
325;Moreirense;2121
326;Colón;2120
327;Kortrijk;2109
328;Viitorul;2109
329;LiaoningKaixin;2101
330;Levante;2100
331;LevskiSofia;2098
332;Caen;2095
333;Mechelen;2087
334;Chornomorets;2080
335;DeportivoAlavés;2076
336;Sydney;2076
337;TianjinTeda;2067
338;Voluntari;2061
339;Luzern;2056
340;MisrLelMakasa;2054
341;AIK;2046
342;AtléticoBucaramanga;2046
343;ColoradoRapids;2041
344;Admira;2028
345;Bursaspor;2028
346;Molde;2024
347;RionegroÁguilas;2013
348;DeportivoTáchira;2010
349;Getafe;2000
350;Newell'sOldBoys;1997
351;Temperley;1996
352;ZagłębieLubin;1995
353;Jablonec;1993
354;SportingKC;1993
355;Peñarol;1991
356;WydadCasablanca;1987
357;Carpi;1981
358;Odd;1972
359;NacionalAsunción;1959
360;Lekhwiya;1959
361;Groningen;1940
362;KrylyaSovetov;1931
363;CSMIaşi;1931
364;Freiburg;1924
365;BeitarJerusalem;1924
366;ChangchunYatai;1906
367;Podbrezová;1904
368;RiverPlate;1888
369;Hangzhou;1877
370;Quilmes;1872
371;LokomotivPlovdiv;1871
372;MontrealImpact;1871
373;MontrealImpact;1871
374;Botoşani;1869
375;Gençlerbirliği;1852
376;Strømsgodset;1848
377;RealSaltLake;1844
378;Chiapas;1841
379;NewYorkCity;1830
380;NewEngland;1824
381;Vitesse;1809
382;Aberdeen;1791
383;AngersSCO;1777
384;DCUnited;1773
385;Grasshopper;1764
386;Zürich;1755
387;LechPoznań;1747
388;Palestino;1738
389;Hearts;1735
390;Envigado;1732
391;KashiwaReysol;1725
392;Cortuluá;1716
393;PanduriiTârguJiu;1715
394;LechiaGdańsk;1710
395;Brann;1706
396;ShijiazhuangEverBright;1705
397;Antalyaspor;1695
398;OnceCaldas;1683
399;MelbourneVictory;1675
400;VitóriaSetúbal;1673
401;Häcken;1672
402;OmiyaArdija;1669
403;Atromitos;1669
404;GeneralCaballero;1667
405;GeneralDíaz;1667
406;PhiladelphiaUnion;1663
407;SpartakMyjava;1663
408;ElShorta;1659
409;ADODenHaag;1654
410;Lokeren;1640
411;MaccabiHaifa;1637
412;VisselKobe;1637
413;RubioÑú;1632
414;Alajuelense;1625
415;Olimpo;1622
416;ConcordiaChiajna;1615
417;Panionios;1603
418;DeportivoPasto;1600
419;Stuttgart;1597
420;PECZwolle;1588
421;Leganés;1588
422;StalKamianske;1587
423;LaEquidad;1583
424;Fénix;1579
425;Čukarički;1579
426;Sarpsborg08;1567
427;Ružomberok;1562
428;SpartakSubotica;1559
429;PASGiannina;1555
430;AlianzaPetrolera;1551
431;NEC;1546
432;MaccabiPetahTikva;1543
433;YokohamaF.Marinos;1541
434;SturmGraz;1535
435;Beroe;1520
436;Pakhtakor;1519
437;Vaduz;1518
438;JaguaresdeCórdoba;1518
439;Cagliari;1516
440;Elfsborg;1514
441;ZbrojovkaBrno;1510
442;JagielloniaBiałystok;1505
443;RheindorfAltach;1503
444;ArgentinosJuniors;1498
445;Randers;1490
446;Kalmar;1487
447;ChernoMore;1486
448;Bohemians1905;1482
449;WisłaKraków;1481
450;PlazaColonia;1478
451;Chaves;1470
452;IroniKiryatShmona;1470
453;Cerro;1459
454;DefensorSporting;1459
455;Liverpool;1459
456;Haugesund;1456
457;Slovácko;1442
458;Volyn;1441
459;PogońSzczecin;1440
460;NewcastleUnited;1439
461;Zlín;1434
462;Rizespor;1432
463;CSKASofia;1429
464;AkhisarBelediyespor;1426
465;AGF;1420
466;HellasVerona;1415
467;Kasımpaşa;1409
468;RadničkiNiš;1406
469;ChicagoFire;1399
470;AtléticoHuila;1386
471;AlFateh;1380
472;BneiSakhnin;1378
473;AaB;1376
474;JavorIvanjica;1375
475;JavorIvanjica;1375
476;ACSPoliTimişoara;1375
477;NorwichCity;1365
478;Qarabağ;1361
479;Viking;1361
480;HoustonDynamo;1357
481;Djurgården;1356
482;SaganTosu;1353
