;Equipe;Points
0;RealMadrid;15239
1;Barcelone;14840
2;AtléticoMadrid;13709
3;RiverPlate;13181
4;Juventus;12219
5;Séville;11915
6;Palmeiras;11850
7;BayernMunich;11751
8;Grêmio;11584
9;BocaJuniors;10598
10;Liverpool;10576
11;Cruzeiro;9856
12;RacingClub;9743
13;Flamengo;9683
14;ManchesterCity;9104
15;Arsenal;8902
16;Valence;8716
17;DefensayJusticia;8691
18;AtléticoPR;8442
19;ClubAmérica;8353
20;Independiente;8295
21;Naples;8148
22;TottenhamHotspur;8050
23;Rome;8029
24;FCPorto;8016
25;PSG;7952
26;Junior;7838
27;GodoyCruz;7751
28;Chelsea;7686
29;Lazio;7589
30;RBLeipzig;7578
31;RealBétis;7567
32;BorussiaDortmund;7556
33;ManchesterUnited;7529
34;EintrachtFrancfort;7359
35;AtléticoTucumán;7348
36;JeonbukMotors;7309
37;OlympiqueLyonnais;7289
38;Salzbourg;7243
39;Corinthians;7194
40;SportingCP;7031
41;Santos;6808
42;DeportivoAlavés;6790
43;Milan;6645
44;Huracán;6627
45;FCShakhtarDonetsk;6586
46;Ajax;6541
47;Ulsan;6452
48;Villarreal;6451
49;OlympiqueMarseille;6416
50;Schalke04;6390
51;RosarioCentral;6389
52;AtléticoNacional;6389
53;SuwonBluewings;6313
54;ClubTigresUANL;6263
55;KashimaAntlers;6191
56;VélezSársfield;6130
57;Internacional;6110
58;Benfica;6089
59;FCDynamoKiev;6074
60;Internazionale;6016
61;SãoPaulo;5985
62;Bahia;5922
63;SantaFe;5832
64;Estudiantes;5819
65;Espanyol;5802
66;Genk;5790
67;CSKAMoscou;5751
68;VascodaGama;5739
69;Banfield;5687
70;AlAhli;5680
71;BayerLeverkusen;5673
72;SanLorenzo;5654
73;Getafe;5611
74;CFRayadosdeMonterrey;5587
75;ClubSantosLaguna;5518
76;ShanghaiSIPG;5507
77;AtléticoMineiro;5459
78;CDSCCruzAzul;5435
79;DeportivoTolucaFC;5417
80;Colón;5384
81;TalleresCórdoba;5373
82;Levante;5360
83;Fluminense;5342
84;Zenit;5332
85;Nacional;5246
86;GuangzhouEvergrande;5217
87;Krasnodar;5140
88;Leganes;5066
89;Atalanta;5042
90;Newell'sOldBoys;5017
91;UniónSantaFe;5004
92;AlHilal;4976
93;CeltaVigo;4969
94;Bordeaux;4967
95;GimnasiaLaPlata;4926
96;Girona;4921
97;CDChivasdeGuadalajara;4907
98;Daegu;4875
99;LokomotivMoscou;4847
100;Hoffenheim;4828
101;StandarddeLiège;4766
102;SpartakMoscou;4753
103;Eibar;4725
104;Botafogo;4720
105;SlaviaPraha;4716
106;PumasUNAM;4715
107;PAOKSalonique;4660
108;SportingBraga;4650
109;RealSociedad;4571
110;Millonarios;4544
111;BesiktasJK;4523
112;ViktoriaPlzeň;4457
113;CelticGlasgowFC;4439
114;GalatasaraySK;4410
115;Rennes;4394
116;CrvenaZvezda;4385
117;Tijuana;4384
118;Chapecoense;4294
119;CerroPorteño;4278
120;ShandongLuneng;4278
121;AthleticBilbao;4273
122;ArgentinosJuniors;4247
123;YoungBoys;4236
124;AlNasrRiyadh;4217
125;Lanús;4195
126;Gyeongnam;4155
127;Apollon;4148
128;Tigre;4130
129;JejuUnited;4092
130;BorussiaM'gladbach;4062
131;CAMonarcasMorelia;4059
132;OnceCaldas;4053
133;DeportesTolima;4051
134;BeijingGuoan;4042
135;IndependienteMedellín;4034
136;Wolfsbourg;4016
137;Belgrano;4001
138;FenerbahceSK;3953
139;Fiorentina;3948
140;NewYorkRB;3899
141;WerderBrême;3897
142;Copenhague;3894
143;Ceará;3888
144;Stuttgart;3876
145;Olimpia;3837
146;PachucaCF;3802
147;Libertad;3789
148;Sampdoria;3749
149;MalmöFF;3738
150;Torino;3732
151;SportRecife;3716
152;AEKLarnaca;3708
153;Persepolis;3696
154;Monaco;3695
155;AméricaMineiro;3676
156;Bournemouth;3630
157;PSV;3623
158;GlasgowRangersFC;3612
159;QuerétaroFC;3604
160;TianjinQuanjian;3560
161;DeportivoCali;3508
162;PohangSteelers;3504
163;Patronato;3500
164;ClubBruges;3499
165;APOEL;3494
166;LaGantoise;3448
167;PueblaFC;3444
168;OlympiakosPirée;3414
169;Midtjylland;3412
170;WestHamUnited;3409
171;Vitória;3409
172;Jablonec;3405
173;FCSteauaBucarest;3399
